reviewer 1,review_date_1,reviewer 2,review_date_2,reviewer 3,review_date_3,issn,title,top_journals_in,publisher,pr_type,pr_policy,pr_form_url,pr_credit_url,pr_database,pr_transfer_policy,pr_transfer_url,opr_reports,opr_responses,opr_letters,opr_versions,opr_identities_published,opr_indenties_author,opr_comments,opr_interaction,opr_additional,coreview_policy,coreview_url,coreview_email,coreview_form,coreview_database,preprint_url,preprint_version,preprint_servers,preprint_citation,preprint_link,preprint_media,preprint_licensing,preprint_scoop,preprint_review,Free Notes/Observations,Time taken to do the Survey,Reviewer 2 changes,gs_title,h5-index,h5-median,G_100_rank,G_BEM_rank,G_CMS_rank,G_ECS_rank,G_HMS_rank,G_HLA_rank,G_LSES_rank,G_PM_rank,G_SS_rank
NP,2019-01-18,TRH,2019-04-21,JP,2019-04-26,1520-6890,Chemical Reviews,Chemical & Materials Sciences,American Chemical Society (ACS),Unsure,https://pubs.acs.org/page/chreay/submission/reviewers.html,Not found,Not found,Unsure,"Internal: “Sometimes an ACS journal editor finds that a submitted manuscript is more suitable for a different ACS journal. The Manuscript Transfer Service allows the author(s) to transfer the manuscript and submission details to another ACS journal without restarting the entire submission process… For manuscripts that have been peer reviewed, the reviews, reviewer identities, and ACS editor’s decision letter will also be provided to the next journal… If authors do not wish to share the reviews, they should decline the offer to transfer the submission.”",https://pubs.acs.org/page/policy/manuscript_transfer/index.html,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not found,Unsure,Unsure,Unsure,https://pubs.acs.org/page/chreay/submission/prior.html,Other,Not specified,No,Unsure,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Chemical Reviews,239,373,8,NA,2,NA,NA,NA,NA,NA,NA
NP,2019-01-18,JP,2019-04-17,TRH,2019-04-25,1460-4744,Chemical Society reviews,Chemical & Materials Sciences,Royal Society of Chemistry,Unsure,http://www.rsc.org/journals-books-databases/journal-authors-reviewers/reviewer-responsibilities/,Not found,http://www.rsc.org/journals-books-databases/journal-authors-reviewers/reviewer-responsibilities/#becoming-reviewer,Yes - Publons,"Internal: “When a paper is to be rejected from one Royal Society of Chemistry journal, then we would offer the author(s) the option to transfer the paper to one of our other journals for consideration, when this is appropriate…. If the manuscript already has reports from reviewers then the author will be asked to upload the revised files. These files should include a summary of any new work added and a point by point response to the reviewers’ comments. Authors should be aware that the reviewers’ comments are transferred to the editor of the receiving journal together with the manuscript files.”",http://www.rsc.org/journals-books-databases/journal-authors-reviewers/processes-policies/#transfers,No,Not specified,Not specified,Not specified,Not specified,Optional,Not specified,Not specified,NA,"The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed.",https://www.rsc.org/journals-books-databases/journal-authors-reviewers/reviewer-responsibilities/#ethical-responsibilities,Unsure,Unsure,Unsure,http://www.rsc.org/journals-books-databases/journal-authors-reviewers/processes-policies/#prior-publication,First submission only (before peer review),"“Authors publishing in our journals may present their research ahead of publication… Through the deposition of a preprint version of the article in non-commercial repositories (eg ArXiv, ChemRxiv), institutional repositories or authors’ individual websites - a preprint is defined here as an un-refereed author version of the article; a non-commercial repository is defined here as any platform or archiving service that makes digital content free to deposit and access“","Yes, in the reference list",Unsure,NA,NA,NA,NA,"RSC-general policies copied from Chemical Communications, only type of peer review journal-specific. Peer review: assume single blind but not stated; general policy at http://www.rsc.org/journals-books-databases/about-journals/chemcomm/#%20journal-specific-guidelines; Preprints: citation style example at http://www.rsc.org/journals-books-databases/journal-authors-reviewers/prepare-your-article/#format-layout; Preprints: preprints permitted; VOR may not be shared but accepted manuscript may be after embargo of 12 months — http://www.rsc.org/journals-books-databases/journal-authors-reviewers/licences-copyright-permissions/#deposition-sharing;  Sharing review reports: “Reviewers may disclose publicly that they have served as a reviewer for a named Royal Society of Chemistry journal. However, a reviewer must not identify himself/herself as the reviewer of a specific manuscript nor disclose the contents of the submitted review to any individual or organization. This expectation of peer review confidentiality and anonymity applies both during and after the peer review process, without time limit.“; Reviewer identity: “The anonymity of reviewers is strictly preserved from the authors, unless a reviewer voluntarily signs their comments to authors.”",NA,NA,Chemical Society reviews,256,366,5,NA,1,NA,NA,NA,NA,NA,NA
NP,2019-01-18,JP,2019-04-17,TRH,2019-04-25,1520-5002,Chemistry of Materials,"Chemical & Materials Sciences,
Engineering & Computer Science",American Chemical Society (ACS),Unsure,https://pubs.acs.org/paragonplus/submission/cmatex/cmatex_scope.pdf,NA,NA,Unsure,"Sometimes an ACS journal editor finds that a submitted manuscript is more suitable for a different ACS journal. The Manuscript Transfer Service allows the author(s) to transfer the manuscript and submission details to another ACS journal without restarting the entire submission process… For manuscripts that have been peer reviewed, the reviews, reviewer identities, and ACS editor’s decision letter will also be provided to the next journal… If authors do not wish to share the reviews, they should decline the offer to transfer the submission.",https://pubs.acs.org/page/policy/manuscript_transfer/index.html,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://pubs.acs.org/page/cmatex/submission/prior.html,First submission only (before peer review),"“Chemistry of Materials authors are allowed to deposit an initial draft of their manuscript in ChemRxiv, bioRxiv, and arXiv, prior to submission. Please note that the use of any other preprint server must be indicated in the cover letter and include a link to the preprint, and as appropriate, state how the manuscript has been adjusted/updated between deposition and submission. All other prior/redundant publication is forbidden.”",Unsure,Unsure,NA,NA,NA,NA,"Some info general to ACS journals, copied from Chemical Reviews. Preprints: only allowed for specified or permitted servers, version unclear; other URL (no additional info): https://pubs.acs.org/paragonplus/submission/cmatex/cmatex_authguide.pdf; https://pubs.acs.org/page/cmatex/submission/reviewers.html",NA,NA,Chemistry of Materials,124,170,79,NA,19,20,NA,NA,NA,NA,NA
NP,2019-01-18,JP,2019-04-17,TRH,2019-04-25,0009-7322,Circulation,Health & Medical Sciences,American Heart Association (AHA),Single blind,https://www.ahajournals.org/pb-assets/Ethical%20ConductPolicyApril2017finalWeb.pdf,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,"""Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.""",NA,Unsure,Unsure,Unsure,https://www.ahajournals.org/prior-publication-policy,First submission only (before peer review),"“Posting of un-refereed manuscripts to a community pre-print server by the author will not be considered prior publication, provided that the following conditions are met: 1) During submission, authors must acknowledge pre-print server deposition and provide any associated accession numbers or DOIs; 2) Versions of a manuscript that have been altered as a result of the peer review process may not be deposited; 3) The pre-print version cannot itself have been indexed in MEDLINE or PubMed; 4) Upon publication, authors are responsible for updating the archived pre-print with a DOI and link to the published version of the article.”",No,Unsure,"Not specific to preprints: ""Direct release of information through press releases or media briefings may preclude publication”",NA,NA,NA,Peer review: type assumed single since reviewers asked to specify COI due to author relationship - https://www.ahajournals.org/pb-assets/Ethical%20ConductPolicyApril2017finalWeb.pdf: citation: “References must be from a full-length publication in a peer-reviewed journal.” — https://www.ahajournals.org/circ/manuscript-preparation; other policy URL: https://www.ahajournals.org/pb-assets/Ethical%20ConductPolicyApril2017finalWeb.pdf,NA,NA,Circulation,166,251,27,NA,NA,NA,12,NA,NA,NA,NA
NP,2019-01-18,JP,2019-04-17,TRH,2019-04-25,1524-4571,Circulation Research,NA,American Heart Association/American Stroke Association (AHA/ASA),Single blind,https://www.ahajournals.org/pb-assets/Ethical%20ConductPolicyApril2017finalWeb.pdf,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.,https://www.ahajournals.org/pb-assets/Ethical%20ConductPolicyApril2017finalWeb.pdf,Unsure,Unsure,Unsure,https://www.ahajournals.org/prior-publication-policy,First submission only (before peer review),"“Posting of un-refereed manuscripts to a community pre-print server by the author will not be considered prior publication, provided that the following conditions are met: 1) During submission, authors must acknowledge pre-print server deposition and provide any associated accession numbers or DOIs; 2) Versions of a manuscript that have been altered as a result of the peer review process may not be deposited; 3) The pre-print version cannot itself have been indexed in MEDLINE or PubMed; 4) Upon publication, authors are responsible for updating the archived pre-print with a DOI and link to the published version of the article.”",No,Unsure,"Not specific to preprints: ""Direct release of information through press releases or media briefings may preclude publication”",NA,NA,NA,"Some policies general to AHA journals, copied from Circulation; Peer review: type assumed single since reviewers asked to specify COI due to author relationship - https://www.ahajournals.org/pb-assets/Ethical%20ConductPolicyApril2017finalWeb.pdf: citation: “References must be from a full-length publication in a peer-reviewed journal.” — https://www.ahajournals.org/res/manuscript-preparation",NA,NA,Circulation Research,116,177,99,NA,NA,NA,NA,NA,NA,NA,NA
NP,2019-01-18,SH,2019-04-15,TRH,2019-04-25,1557-3265,Clinical Cancer Research,NA,American Association for Cancer Research (AACR),Unsure,http://aacrjournals.org/content/authors/editorial-process#peerrev,NA,http://aacrjournals.org/site/Info/Reviewers.xhtml,Unsure,"Internal: “For authors of Research Articles that have been declined for publication at an AACR journal, the AACR offers the corresponding author the option to easily transfer his or her manuscript files and supporting information, such as peer review comments and reviewer identities, to a second AACR journal of his or her choice for consideration.”",http://aacrjournals.org/content/authors/manuscript-transfer,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,"""Please note also that if you agree to review this manuscript, the manuscript and its' contents must be kept confidential.  If you wish to have another expert co-review the manuscript with you, you must first obtain permission from the journal office.""",https://ccr.msubmit.net/cgi-bin/main.plex?form_type=display_rev_instructions,Yes,Unsure,Unsure,http://aacrjournals.org/content/authors/editorial-policies,First submission only (before peer review),"“Posting of manuscripts on institutional websites or on recognized community preprint servers, such as bioRxiv, is permitted under our publication policy.”",Not specified,Unsure,NA,NA,NA,NA,"Peer review: form mentioned but not linked at https://ccr.msubmit.net/cgi-bin/main.plex?form_type=display_rev_instructions; other URLs: http://aacrjournals.org/content/authors/editorial-policies, http://aacrjournals.org/site/Info/Reviewers.xhtml",NA,NA,Clinical Cancer Research,121,165,86,NA,NA,NA,NA,NA,NA,NA,NA
NP,2019-01-18,SH,2019-04-15,TRH,2019-04-25,0360-1315,Computers & Education,NA,Elsevier,Double blind,https://www.elsevier.com/journals/computers-and-education/0360-1315?generatepdf=true,NA,https://www.elsevier.com/reviewers/role#recognizing,Unsure,"Internal: “This journal is part of our Article Transfer Service.” - Author guide (PDF link in notes) && “Elsevier authors can transfer their article submission from one journal to another for free if they are rejected, without the need to reformat, and often without needing further peer review. For this reason, reviewers are informed about the service and are asked for their consent for transferring their review report along with the manuscript to the receiver journal. Reviewers are given the option to reveal their identity to the editor of the receiver journal or stay anonymous.”",https://www.elsevier.com/reviewers/what-is-peer-review,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://www.elsevier.com/journals/computers-and-education/0360-1315?generatepdf=true,Any,"“Authors can share their preprint anywhere at any time, in line with Elsevier's sharing policy..”, From sharing policy: ""Authors can update their preprints on arXiv or RePEc with their accepted manuscript ."" https://www.elsevier.com/about/policies/sharing","Yes, but only in the text (not the reference list)",Unsure,NA,NA,NA,NA,"https://www.elsevier.com/journals/computers-and-education/0360-1315/guide-for-authors; Preprint: “Authors can update their preprints on arXiv or RePEc with their accepted manuscript”, “Unpublished results and personal communications are not recommended in the reference list, but may be mentioned in the text.”",NA,NA,Computers & Education,91,152,NA,NA,NA,NA,NA,NA,NA,NA,1
NP,2019-01-18,SH,2019-04-15,TRH,2019-04-25,1935-5548,Diabetes Care,NA,American Diabetes Association (ADA),Single blind,http://www.diabetesjournals.org/content/journal-policies#peerreview,NA,http://www.diabetesjournals.org/for-reviewers,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,"""Manuscripts under review are strictly confidential. To protect the authors’ work as well as your anonymity, communications regarding the manuscript and its parts, including the abstract, may not be shared for any reason. Further, according to COPE guidelines, reviewers must refrain from using information obtained from the peer review process in any way and should not involve anyone else in the review of a manuscript without first obtaining permission from the journal.""",http://www.diabetesjournals.org/for-reviewers,Unsure,Unsure,Unsure,http://www.diabetesjournals.org/content/journal-policies#originality,"Unsure (preprints are allowed, but it's not clear what version)","“ADA does not consider previous presentation of a study at a meeting, previous publication of an abstract affiliated with the proceedings of meetings, or prior posting of a study on a recognized preprint server (e.g., bioRxiv) to constitute prior publication. To be clear, ADA journals will still consider papers for publication if they are previously presented in these formats.”",Not specified,Unsure,"""If you are interested in reporting on a Diabetes Care article published online ahead of print, please specify in your news release that you are reporting on a preprint version of a study that is scheduled to be published in a future issue of Diabetes Care, currently available online at care.diabetesjournals.org/content/early/recent."" — http://care.diabetesjournals.org/content/instructions-for-authors#media",NA,NA,NA,NA,NA,NA,Diabetes Care,129,185,64,NA,NA,NA,NA,NA,NA,NA,NA
NP,2019-01-18,SH,2019-04-15,TRH,2019-04-25,2167-082X,Digital Journalism,"Humanities, Literature & Arts",Taylor & Francis,Double blind,https://www.tandfonline.com/action/authorSubmission?journalCode=rdij20&page=instructions#Peer_review,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,NA,No preprint policy,NA,NA,Unsure,NA,NA,NA,NA,"Very little explicit policy information found; readers instructed to find peer review policy in the aims & scope section but all this says is ""All articles in Digital Journalism have undergone rigorous peer review, based on initial editor screening and anonymised refereeing by two anonymous referees.”; Instructions for authors: https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rdij20 -- no guidance on preprints; no info in https://authorservices.taylorandfrancis.com/what-to-expect-during-peer-review/ or",NA,NA,Digital Journalism,42,60,NA,NA,NA,NA,NA,2,NA,NA,NA
NP,2019-01-18,GMD,2019-04-24,JP,2019-04-28,1468-0262,Econometrica,"Business, Economics & Management",Wiley (for the Econometric Society),Unsure,https://www.econometricsociety.org/publications/econometrica/information-authors/editorial-procedures-and-policies#reviewprocess,NA,NA,Unsure,"Internal: “If an Econometric Society journal forwards to us a request from an author to transfer the editorial file of an Econometrica submission (listing our reference number for the submission and the title), we will send the material to the journal, i.e., (i) the referee reports; (ii) decision letter; and - with the additional permission of individual referees - (iii) referees' names and (iv) cover letters. We ask the journals to honor our
 ""conflict of interest"" policies saying that referee reports on an author's paper should not be seen by co-editors”",https://www.econometricsociety.org/publications/econometrica/information-authors/editorial-procedures-and-policies#sharing,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,Unsure,Unsure,Unsure,https://www.econometricsociety.org/publications/econometrica/information-authors/editorial-procedures-and-policies#priorpublication,"Other (references prior publication, but not preprints specifically; ""in any case this will be decided on a case-by-case basis"")",NA,Not specified,Unsure,NA,NA,NA,NA,NA,NA,NA,Econometrica,77,143,NA,16,NA,NA,NA,NA,NA,NA,NA
SR,2018-12-07,GMD,2019-04-24,JP,2019-04-28,1754-5706,Energy and Environmental Science,"Chemical & Materials Sciences, Engineering & Computer Science",Royal Society of Chemistry,Single blind,http://www.rsc.org/journals-books-databases/journal-authors-reviewers/reviewer-responsibilities/#review-procedure,NA,NA,No,"When a paper is to be rejected from one Royal Society of Chemistry journal, then we would offer the author(s) the option to transfer the paper to one of our other journals for consideration, when this is appropriate. This offer may occur during the initial assessment of a manuscript or after reports on it have been received from reviewers. As part of the peer review process, the reviewers are asked to comment whether the manuscript would be more appropriate for one of our other journals. If the manuscript already has reports from reviewers then the author will be asked to upload the revised files. These files should include a summary of any new work added and a point by point response to the reviewers’ comments. Authors should be aware that the reviewers’ comments are transferred to the editor of the receiving journal together with the manuscript files. On submission to the new journal, the manuscript will then be assessed by an editor as to whether further peer review will be necessary. The transfer process also reduces the burden on reviewers. A paper that has been rejected may be submitted by the author to another journal where it would undergo evaluation again. By transferring between journals here we would be able to consider the reports received already, although some additional review may be necessary. Full peer review is not always necessary thereby reducing the number of reviews required and allowing a decision to be reached more quickly.",https://www.rsc.org/journals-books-databases/journal-authors-reviewers/processes-policies/#transfers,Conditional,Optional,Not specified,Not specified,Not specified,Optional,Not specified,Yes,"When the editor makes a decision on a manuscript, reviewers are typically notified of that decision and are provided with the comments from all reviewers on the manuscript. The reviewers’ anonymity is preserved unless the reviewer has voluntarily signed their report. Reviewers are informed at the point of invitation to review if their report will be shared in this way. The anonymity of reviewers is strictly preserved from the authors, unless a reviewer voluntarily signs their comments to authors. A reviewer should never communicate directly with an author, unless and until such action has been agreed by the Royal Society of Chemistry, through the editor. Reviewers may disclose publicly that they have served as a reviewer for a named Royal Society of Chemistry journal. However, a reviewer must not identify himself/herself as the reviewer of a specific manuscript nor disclose the contents of the submitted review to any individual or organization. This expectation of peer review confidentiality and anonymity applies both during and after the peer review process, without time limit.",Not specified,NA,Unsure,Unsure,Unsure,https://www.rsc.org/journals-books-databases/journal-authors-reviewers/processes-policies/#prior-publication,First submission only (before peer review),"Through the deposition of a preprint version of the article in non-commercial repositories (eg ArXiv, ChemRxiv), institutional repositories or authors’ individual websites - a preprint is defined here as an un-refereed author version of the article; a non-commercial repository is defined here as any platform or archiving service that makes digital content free to deposit and access",Not specified,Unsure,NA,NA,NA,NA,NA,NA,NA,Energy and Environmental Science,196,330,17,NA,7,3,NA,NA,NA,NA,NA
SR,2018-12-07,GMD,2019-04-24,JP,2019-04-28,0013-936X,Environmental Science & Technology,Life Sciences & Earth Sciences,ACS Publications,Unsure,https://pubs.acs.org/paragonplus/submission/esthag/esthag_authguide.pdf,NA,NA,Unsure,"Once a transfer is accepted, authors will then complete the submission to the new journal in ACS Paragon Plus. During the submission process, they will have the opportunity to revise the manuscript and address comments received from editors or reviewers. Requirements of the new journal may be different, so authors should also check the Author Guidelines for the new journal and make any needed revisions in order to conform to those requirements. Please keep in mind that the reviews, reviewer identities, and decision letter will all be transferred to the new journal. Authors are encouraged to identify changes made to the manuscript in a cover letter for the new journal.",https://pubs.acs.org/paragonplus/submission/esthag/esthag_authguide.pdf,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://pubs.acs.org/page/esthag/submission/prior.html,"Unsure (preprints are allowed, but it's not clear what version)","Posting of pre-prints to a pre-print server is considered acceptable but requires citing of the pre-print. Please note the use of a pre-print server in the cover letter, and as appropriate, state how the manuscript has been adjusted/updated between the pre-print version and the version submitted to ES&T.","Other; Any references in publications that would be difficult for most reviewers to obtain or are
 unpublished should be uploaded as Information for Review Only. DOI numbers are helpful but not mandatory
 unless they are the only identifying information available (e.g., for recently published articles). - https://pubs.acs.org/paragonplus/submission/esthag/esthag_authguide.pdf",Unsure,NA,NA,NA,NA,NA,NA,NA,Environmental Science & Technology,125,165,77,NA,NA,NA,NA,NA,19,NA,NA
SR,2018-12-07,GMD,2019-04-24,JP,2019-04-28,1522-9645,European Heart Journal,Health & Medical Sciences,Oxford Academic/European Society of Cardiology,Unsure,https://academic.oup.com/eurheartj/pages/General_Instructions#3.1,NA,NA,Unsure,"If a manuscript is peer-reviewed by an ESC journal, yet deemed more appropriate for another specialty journal, and if the authors agree to their manuscript being shared within the ESC Journal Family, there will be no need for resubmission and the applicable reviewer comments will normally also be transferred, resulting in a reduced time to a decision.",https://academic.oup.com/eurheartj/pages/Manuscript_Sharing,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://academic.oup.com/journals/pages/access_purchase/rights_and_permissions/self_archiving_policy_b,First submission only (before peer review),"This includes posting on their own personal websites, institutional or non-commercial subject based repositories, commercial platforms websites or repositories, or social media, provided that, upon acceptance, they acknowledge that the article has been accepted for publication as follows: 

This article has been accepted for publication in [Journal Title] Published by Oxford University Press. 

After publication we would also ask authors to update their AOV with the Digital Object Identifier (DOI), and include a link to the Version of Record.",Unsure - https://academic.oup.com/eurheartj/pages/General_Instructions#2.4,Unsure,NA,NA,NA,NA,NA,NA,NA,European Heart Journal,149,219,40,NA,NA,NA,15,NA,NA,NA,NA
SR,2018-12-07,JP,2019-04-11,TRH,2019-04-25,0302-2838,European Urology,NA,Elsevier,Single blind,https://www.europeanurology.com/content/resources-for-authors,NA,https://www.elsevier.com/reviewers/role#RRP,Unsure,"Elsevier authors can transfer their article submission from one journal to another for free if they are rejected, without the need to reformat, and often without needing further peer review. For this reason, reviewers are informed about the service and are asked for their consent for transferring their review report along with the manuscript to the receiver journal. Reviewers are given the option to reveal their identity to the editor of the receiver journal or stay anonymous. The benefits of manuscript review cascades are twofold: Reviewers are not asked to review the same manuscript several times for different journals. Authors do not need to spend additional time reformatting their manuscript.",https://www.elsevier.com/reviewers/what-is-peer-review,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,The journal European Urology is not very specific with respect to the details of its peer review process.,NA,NA,Unsure,Unsure,Unsure,NA,No preprint policy,NA,Not specified,Unsure,NA,NA,NA,NA,"The European Urology journal is published by Elsevier, so presumably many of Elsevier's general policies apply. However, the general information documents by Elsevier are not accessible (mostly) via the EU journal. Consequently, no information is provided on their peer review or pre-print policies, for instance.",NA,NA,European Urology,122,190,82,NA,NA,NA,NA,NA,NA,NA,NA
SR,2018-12-04,JP,2019-04-11,TRH,2019-04-25,0016-5085,Gastroenterology,Health & Medical Sciences,Elsevier/The American Gatsorenterological Association,Single blind,https://www.gastrojournal.org/content/authorinfo,NA,https://www.gastrojournal.org/content/authorinfo,No,"Elsevier authors can transfer their article submission from one journal to another for free if they are rejected, without the need to reformat, and often without needing further peer review. For this reason, reviewers are informed about the service and are asked for their consent for transferring their review report along with the manuscript to the receiver journal. Reviewers are given the option to reveal their identity to the editor of the receiver journal or stay anonymous. The benefits of manuscript review cascades are twofold: Reviewers are not asked to review the same manuscript several times for different journals. Authors do not need to spend additional time reformatting their manuscript.",https://www.elsevier.com/reviewers/what-is-peer-review,No,Not specified,No,Not specified,No,No,Not specified,Not specified,NA,Reviewers provide comments for the editor and for the authors. The journal expects reviewers to treat manuscripts as confidential communications and not to use the content for their own purposes or make copies of the manuscripts. Reviewers are also expected to declare to the editor any possible conflicts of interest.,https://www.gastrojournal.org/content/authorinfo,Unsure,Unsure,No,https://www.gastrojournal.org/content/authorinfo,No preprint policy,NA,Not specified,Unsure,NA,NA,NA,NA,"The journal ""Gastroenterology"" belongs to the American Gastroenterological Association but is published by Elsevier. Nevertheless, the journal website details the review procedures which sometimes depart from Elsevier's other journals. As with other journals, the information the editors consider most important for authors concerns the topics and publication types admissible to the journal and the way editors expect (potential) authors to act. All the information available on the peer review process is conveniently located in one single document/website.; Preprint-version: (Put ""No preprint policy"" because of sentences like this: ""The publication of abstracts or posters is not considered duplicate publication but should be disclosed in the cover letter accompanying the manuscript submission."" )",NA,NA,Gastroenterology,147,210,43,NA,NA,NA,18,NA,NA,NA,NA
SR,2018-12-04,JP,2019-04-11,TRH,2019-04-25,1552-3977,Gender & Society,"Humanities, Literature & Arts",SAGE,Double blind,https://uk.sagepub.com/en-gb/eur/gender-society/journal200793#submission-guidelines,NA,https://uk.sagepub.com/en-gb/eur/online-submission-peer-review-system,Yes,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://uk.sagepub.com/en-gb/eur/prior-publication,"After peer review (but not final, copyedited version)",Servers should enable green open access (minimum),Not specified,Unsure,"Working papers or versions of the paper posted on a pre-print server: authors should alert the Editor when submitting their paper if they have posted it on a pre-print server. Authors should not post an updated version of their paper on the pre-print server while it is being peer reviewed for possible publication in the journal. If the article is accepted for publication, the author may re-use their work according to the journal's self-archiving policy: SAGE’s standard self-archiving policy can be found on our Author Gateway. Please note that individual journals may not accept for consideration papers that have been posted on pre-print servers. Please check the submission guidelines of the journal you are submitting to and confirm with the Editor or Editorial Office directly.",NA,NA,NA,"Gender & Society is published by SAGE, but as with journal versus publisher policies generally, it is not clear which rules specified by SAGE apply to this particular journal. E.g. Concerning preprint policies, the SAGE website offers author information that is linked in a circular way to preprint policies (i.e. the preprint policy page refers to the author guidelines and vice versa).",NA,NA,Gender & Society,32,57,NA,NA,NA,NA,NA,15,NA,NA,NA
SR,2018-12-04,JP,2019-04-11,TRH,2019-04-25,1944-8007,Geophysical Research Letters,Physics & Mathematics,Wiley/Advancing Earth and Space Science,Unsure,https://publications.agu.org/author-resource-center/steps-to-publication/,NA,https://publications.agu.org/reviewer-resources/,No,Not specified,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,All reviewers are expected to uphold AGU’s ethical guidelines and to disclose any conflicts of interest to the editors. Reviewers are expected to keep manuscripts confidential.,https://publications.agu.org/reviewer-resources/,Unsure,Unsure,Unsure,https://publications.agu.org/author-resource-center/publication-policies/dual-publication-policy/,"After peer review (but not final, copyedited version)","AGU does allow posting of preprints and accepted papers in not-for-profit preprint servers that are designed to facilitate community engagement and discovery across the sciences. Any other online publication with a service that provides archiving with citation protocols and public retrieval capabilities constitutes prior publication. Preprint servers – AGU allows authors to post a draft of their accepted manuscripts on Earth and Space Science Open Archive (ESSOAr) or another not-for-profit preprint server that is designed to facilitate community engagement and discovery across the sciences.
 
 Repositories – AGU allows to be placed in an institutional repository 6 months after publication and allows submitted articles to be accessible on the author’s personal website. AGU also supports governmental and institutional repositories and access is available to AGU content through CHORUS, usually 12 months after publication.",Not specified,Unsure,"AGU does not consider prior press attention of a result as publication unless the release is so extensive that it would count as prior publication of a paper. AGU encourages authors to release results to the press at the time of publication when a full assessment is possible. AGU does not embargo press notifications and strives to distribute these as soon as AGU content is available online. AGU also often co-issues or otherwise coordinates press notifications with authors’ institutions. We also can coordinate publication of your AGU paper with publication of other papers in non-AGU journals on request of authors or their institutions. If you feel that your paper merits press or social media attention, or are planning a press release or other press notification about your paper, please fill out our form here.",NA,NA,NA,"GRL is an invitation-only journal, meaning that potential authors may submit plans for contributions which will then be evauluated by the editors. In light of this, it still seems to be fairly explicit concerning its peer review policies, at least as far as preprints and licensing is concerned.",NA,NA,Geophysical Research Letters,87,116,NA,NA,NA,NA,NA,NA,NA,20,NA
