index1,index2,value,coreview_policy.x,coreview_policy.y
12,30,0.12121212121212122,"The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed.","""Treat the manuscript as confidential: The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed. Information acquired by a reviewer from such a paper is not available for disclosure or citation until the paper is published."""
38,45,0.12903225806451613,"Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted.","Supervisors who wish to involve their students or junior researchers in peer review must request permission from the editor and abide by the editor’s decision. In cases where a student performs the review under the guidance of the supervisor, that should be noted and the student should be acknowledged as the reviewer of record."
3,9,0.13043478260869568,To treat the manuscript as confidential. The editor must be informed if the referee consults a colleague about the manuscript.,Please note that all information regarding a submitted paper should be kept confidential.
10,11,0.13157894736842102,"“In some instances, reviewers may feel that it would be helpful to obtain additional advice from a colleague. … In such cases, we ask that the reviewer contact the editor in advance to ensure that the editor has the opportunity to take additional information into account before permitting communications that have the potential to violate confidentiality. …Reviewers can collaborate with trainees (graduate students and post-docs) in the evaluation of manuscripts… However, we ask that reviewers keep the number of collaborators to a minimum and include the identities of all the individuals involved in the “comments to the editors” component of their review. Regardless, the person originally invited to review the manuscript is ultimately responsible for maintaining confidentiality and for the content and accuracy of the report.”",""" In some instances, reviewers may feel that it would be helpful to obtain additional advice from a colleague. In such cases, we ask that the reviewer contact the editor in advance to ensure that the editor has the opportunity to take additional information into account before permitting communications that have the potential to violate confidentiality. It is not appropriate to discuss unpublished manuscripts at laboratory meetings or journal clubs. Reviewers can collaborate with trainees (graduate students and post-docs) in the evaluation of manuscripts, and we appreciate that such collaboration functions as an important training exercise. However, we ask that reviewers keep the number of collaborators to a minimum and include the identities of all the individuals involved in the “comments to the editors” component of their review. Regardless, the person originally invited to review the manuscript is ultimately responsible for maintaining confidentiality and for the content and accuracy of the report. We encourage referees to inform collaborating reviewers about appropriate guidelines and ethics for peer review, as outlined in this document."""
33,38,0.1428571428571429,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
14,39,0.1428571428571429,Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.,Reviewers are required to treat all submitted manuscripts in strict confidence and should not share information about submissions with any other parties unless previously agreed with the editor. The involvement of a third party in the review must be declared at the time of the submission of the review.
26,41,0.1428571428571429,"""Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place. Full guidelines for peer reviewers can be found on the Committee on Publication Ethics website here.""","Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place."
33,43,0.1428571428571429,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors.","It is acceptable to consult with laboratory colleagues, but we ask that they are identified to the Editorial Board Member."
20,22,0.1515151515151515,"""These restrictions might be relaxed in the event that you wish to incorporate the comments of others in your review comments. However, other reviewers must agree to abide by the restrictions described above. If you do wish to enlist the aid of others in reviewing this paper, we ask that you inform us before proceeding. Please contact the editor who requested the review.""","Papers sent to you for review are confidential. However, requesting the opinion of a single colleague may be appropriate in some circumstances. Please consult your associate editor if you’d like to the input of outside help for the review."
12,37,0.1515151515151515,"The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed.","Trainee Reviewers
 Trainees (students, residents) may review for the journal if they have the expertise to review the subject matter of the manuscript. They should be assisted by a senior mentor during the review process, and the mentor must sign off on the review. Trainees must abide by all reviewer guidelines, including the necessity to recuse themselves if they have a conflict of interest, including intellectual (e.g., having a strong belief that makes it difficult for you to evaluate the reported findings), financial (e.g., gaining a financial benefit if the work is either published or not published), or personal (e.g., having a personal or professional relationship with one or more of the authors that makes it difficult to fairly evaluate the work)."
19,44,0.1515151515151515,"If you do choose to discuss the manuscript and/or your review with a professional colleague whose input you request as part of your review process, you are responsible for ensuring that they are made fully aware of the confidential nature of the discussion and that they must not disclose any information about the manuscript until the article is published. The identity of any co-reviewer and any potential conflicting or competing interests they may have must be disclosed when submitting your review.","The peer-review process rests on the assumption that an assigned reviewer will treat all manuscripts as privileged information. A reviewer may request advice from another party, subject to the general principle of confidentiality and notification of the JCI."
7,31,0.15625,"Unless otherwise specified, OUP expects editors and reviewers to handle all submissions in confidence. If a reviewer wishes to delegate the review or seek the opinion of a colleague on a specific aspect of the paper, they are expected to clear this with the editor in the first instance.","It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee’s own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors."
17,37,0.15625,Reviewers provide comments for the editor and for the authors. The journal expects reviewers to treat manuscripts as confidential communications and not to use the content for their own purposes or make copies of the manuscripts. Reviewers are also expected to declare to the editor any possible conflicts of interest.,"Trainee Reviewers
 Trainees (students, residents) may review for the journal if they have the expertise to review the subject matter of the manuscript. They should be assisted by a senior mentor during the review process, and the mentor must sign off on the review. Trainees must abide by all reviewer guidelines, including the necessity to recuse themselves if they have a conflict of interest, including intellectual (e.g., having a strong belief that makes it difficult for you to evaluate the reported findings), financial (e.g., gaining a financial benefit if the work is either published or not published), or personal (e.g., having a personal or professional relationship with one or more of the authors that makes it difficult to fairly evaluate the work)."
22,45,0.15625,"Papers sent to you for review are confidential. However, requesting the opinion of a single colleague may be appropriate in some circumstances. Please consult your associate editor if you’d like to the input of outside help for the review.","Supervisors who wish to involve their students or junior researchers in peer review must request permission from the editor and abide by the editor’s decision. In cases where a student performs the review under the guidance of the supervisor, that should be noted and the student should be acknowledged as the reviewer of record."
31,45,0.15625,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee’s own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors.","Supervisors who wish to involve their students or junior researchers in peer review must request permission from the editor and abide by the editor’s decision. In cases where a student performs the review under the guidance of the supervisor, that should be noted and the student should be acknowledged as the reviewer of record."
16,26,0.1578947368421053,"""Manuscripts under review are strictly confidential. To protect the authors’ work as well as your anonymity, communications regarding the manuscript and its parts, including the abstract, may not be shared for any reason. Further, according to COPE guidelines, reviewers must refrain from using information obtained from the peer review process in any way and should not involve anyone else in the review of a manuscript without first obtaining permission from the journal.""","""Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place. Full guidelines for peer reviewers can be found on the Committee on Publication Ethics website here."""
19,38,0.16129032258064513,"If you do choose to discuss the manuscript and/or your review with a professional colleague whose input you request as part of your review process, you are responsible for ensuring that they are made fully aware of the confidential nature of the discussion and that they must not disclose any information about the manuscript until the article is published. The identity of any co-reviewer and any potential conflicting or competing interests they may have must be disclosed when submitting your review.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
22,38,0.16129032258064513,"Papers sent to you for review are confidential. However, requesting the opinion of a single colleague may be appropriate in some circumstances. Please consult your associate editor if you’d like to the input of outside help for the review.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
31,38,0.16129032258064513,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee’s own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
17,41,0.16129032258064513,Reviewers provide comments for the editor and for the authors. The journal expects reviewers to treat manuscripts as confidential communications and not to use the content for their own purposes or make copies of the manuscripts. Reviewers are also expected to declare to the editor any possible conflicts of interest.,"Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place."
40,45,0.16129032258064513,"Material under review is a privileged communication that should not be shared or discussed with anyone outside the designated review process unless necessary and approved by the editor. If you wish to consult a colleague for assistance with the review, please ensure they are free of any conflicts of interest and agree to abide by journal policies.","Supervisors who wish to involve their students or junior researchers in peer review must request permission from the editor and abide by the editor’s decision. In cases where a student performs the review under the guidance of the supervisor, that should be noted and the student should be acknowledged as the reviewer of record."
14,22,0.16666666666666663,Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.,"Papers sent to you for review are confidential. However, requesting the opinion of a single colleague may be appropriate in some circumstances. Please consult your associate editor if you’d like to the input of outside help for the review."
5,36,0.16666666666666663,"Annals of Internal Medicine expects reviewers to handle manuscripts in a confidential manner. Manuscripts sent for review are privileged communications and are the private property of the authors. Therefore, reviewers (like members of the editorial staff) must not publicly discuss the authors' work or appropriate their ideas before the manuscript is published. Reviewers should not keep copies of reviewed manuscripts in their personal files and are prohibited from sharing copies of the manuscript with others, except with the permission of the editor. Reviewers should destroy copies of manuscripts after submitting reviews.","A reviewer should recognize that a manuscript under review is a confidential document. Reviewers should not use or disseminate unpublished information, arguments, or interpretations contained in an unpublished manuscript, except with the consent of the author. During review, the manuscript should neither be shown to nor discussed with others except, in special cases, to persons from whom specific advice may be sought. In that event, the reviewer maintains responsibility for ensuring confidentiality. The reviewer should inform the editor of others who make significant contributions to a review."
5,37,0.16666666666666663,"Annals of Internal Medicine expects reviewers to handle manuscripts in a confidential manner. Manuscripts sent for review are privileged communications and are the private property of the authors. Therefore, reviewers (like members of the editorial staff) must not publicly discuss the authors' work or appropriate their ideas before the manuscript is published. Reviewers should not keep copies of reviewed manuscripts in their personal files and are prohibited from sharing copies of the manuscript with others, except with the permission of the editor. Reviewers should destroy copies of manuscripts after submitting reviews.","Trainee Reviewers
 Trainees (students, residents) may review for the journal if they have the expertise to review the subject matter of the manuscript. They should be assisted by a senior mentor during the review process, and the mentor must sign off on the review. Trainees must abide by all reviewer guidelines, including the necessity to recuse themselves if they have a conflict of interest, including intellectual (e.g., having a strong belief that makes it difficult for you to evaluate the reported findings), financial (e.g., gaining a financial benefit if the work is either published or not published), or personal (e.g., having a personal or professional relationship with one or more of the authors that makes it difficult to fairly evaluate the work)."
19,39,0.16666666666666663,"If you do choose to discuss the manuscript and/or your review with a professional colleague whose input you request as part of your review process, you are responsible for ensuring that they are made fully aware of the confidential nature of the discussion and that they must not disclose any information about the manuscript until the article is published. The identity of any co-reviewer and any potential conflicting or competing interests they may have must be disclosed when submitting your review.",Reviewers are required to treat all submitted manuscripts in strict confidence and should not share information about submissions with any other parties unless previously agreed with the editor. The involvement of a third party in the review must be declared at the time of the submission of the review.
38,40,0.16666666666666663,"Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted.","Material under review is a privileged communication that should not be shared or discussed with anyone outside the designated review process unless necessary and approved by the editor. If you wish to consult a colleague for assistance with the review, please ensure they are free of any conflicts of interest and agree to abide by journal policies."
40,43,0.16666666666666663,"Material under review is a privileged communication that should not be shared or discussed with anyone outside the designated review process unless necessary and approved by the editor. If you wish to consult a colleague for assistance with the review, please ensure they are free of any conflicts of interest and agree to abide by journal policies.","It is acceptable to consult with laboratory colleagues, but we ask that they are identified to the Editorial Board Member."
15,20,0.17142857142857137,"""Please note also that if you agree to review this manuscript, the manuscript and its' contents must be kept confidential.  If you wish to have another expert co-review the manuscript with you, you must first obtain permission from the journal office.""","""These restrictions might be relaxed in the event that you wish to incorporate the comments of others in your review comments. However, other reviewers must agree to abide by the restrictions described above. If you do wish to enlist the aid of others in reviewing this paper, we ask that you inform us before proceeding. Please contact the editor who requested the review."""
8,25,0.1724137931034483,"If you accept, you must treat the materials you receive as confidential documents. This means you can’t share them with anyone without prior authorization from the editor. Since peer review is confidential, you also must not share information about the review with anyone without permission from the editors and authors.","""Since peer review is confidential, you also must not share information about the review with anyone without permission from the editors and authors."""
19,33,0.1724137931034483,"If you do choose to discuss the manuscript and/or your review with a professional colleague whose input you request as part of your review process, you are responsible for ensuring that they are made fully aware of the confidential nature of the discussion and that they must not disclose any information about the manuscript until the article is published. The identity of any co-reviewer and any potential conflicting or competing interests they may have must be disclosed when submitting your review.","It is acceptable to consult with laboratory colleagues, but please identify them to the editors."
31,33,0.1724137931034483,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee’s own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors.","It is acceptable to consult with laboratory colleagues, but please identify them to the editors."
13,39,0.1724137931034483,"""Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.""",Reviewers are required to treat all submitted manuscripts in strict confidence and should not share information about submissions with any other parties unless previously agreed with the editor. The involvement of a third party in the review must be declared at the time of the submission of the review.
17,39,0.1724137931034483,Reviewers provide comments for the editor and for the authors. The journal expects reviewers to treat manuscripts as confidential communications and not to use the content for their own purposes or make copies of the manuscripts. Reviewers are also expected to declare to the editor any possible conflicts of interest.,Reviewers are required to treat all submitted manuscripts in strict confidence and should not share information about submissions with any other parties unless previously agreed with the editor. The involvement of a third party in the review must be declared at the time of the submission of the review.
14,40,0.1724137931034483,Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.,"Material under review is a privileged communication that should not be shared or discussed with anyone outside the designated review process unless necessary and approved by the editor. If you wish to consult a colleague for assistance with the review, please ensure they are free of any conflicts of interest and agree to abide by journal policies."
7,15,0.17647058823529416,"Unless otherwise specified, OUP expects editors and reviewers to handle all submissions in confidence. If a reviewer wishes to delegate the review or seek the opinion of a colleague on a specific aspect of the paper, they are expected to clear this with the editor in the first instance.","""Please note also that if you agree to review this manuscript, the manuscript and its' contents must be kept confidential.  If you wish to have another expert co-review the manuscript with you, you must first obtain permission from the journal office."""
7,20,0.17647058823529416,"Unless otherwise specified, OUP expects editors and reviewers to handle all submissions in confidence. If a reviewer wishes to delegate the review or seek the opinion of a colleague on a specific aspect of the paper, they are expected to clear this with the editor in the first instance.","""These restrictions might be relaxed in the event that you wish to incorporate the comments of others in your review comments. However, other reviewers must agree to abide by the restrictions described above. If you do wish to enlist the aid of others in reviewing this paper, we ask that you inform us before proceeding. Please contact the editor who requested the review."""
15,32,0.17647058823529416,"""Please note also that if you agree to review this manuscript, the manuscript and its' contents must be kept confidential.  If you wish to have another expert co-review the manuscript with you, you must first obtain permission from the journal office.""","We ask referees to treat the review process as strictly confidential, and not to discuss the manuscript with anyone not directly involved in the review. It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee's own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors."
20,41,0.17647058823529416,"""These restrictions might be relaxed in the event that you wish to incorporate the comments of others in your review comments. However, other reviewers must agree to abide by the restrictions described above. If you do wish to enlist the aid of others in reviewing this paper, we ask that you inform us before proceeding. Please contact the editor who requested the review.""","Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place."
37,41,0.17647058823529416,"Trainee Reviewers
 Trainees (students, residents) may review for the journal if they have the expertise to review the subject matter of the manuscript. They should be assisted by a senior mentor during the review process, and the mentor must sign off on the review. Trainees must abide by all reviewer guidelines, including the necessity to recuse themselves if they have a conflict of interest, including intellectual (e.g., having a strong belief that makes it difficult for you to evaluate the reported findings), financial (e.g., gaining a financial benefit if the work is either published or not published), or personal (e.g., having a personal or professional relationship with one or more of the authors that makes it difficult to fairly evaluate the work).","Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place."
7,32,0.18181818181818177,"Unless otherwise specified, OUP expects editors and reviewers to handle all submissions in confidence. If a reviewer wishes to delegate the review or seek the opinion of a colleague on a specific aspect of the paper, they are expected to clear this with the editor in the first instance.","We ask referees to treat the review process as strictly confidential, and not to discuss the manuscript with anyone not directly involved in the review. It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee's own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors."
20,38,0.18181818181818177,"""These restrictions might be relaxed in the event that you wish to incorporate the comments of others in your review comments. However, other reviewers must agree to abide by the restrictions described above. If you do wish to enlist the aid of others in reviewing this paper, we ask that you inform us before proceeding. Please contact the editor who requested the review.""","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
36,38,0.18181818181818177,"A reviewer should recognize that a manuscript under review is a confidential document. Reviewers should not use or disseminate unpublished information, arguments, or interpretations contained in an unpublished manuscript, except with the consent of the author. During review, the manuscript should neither be shown to nor discussed with others except, in special cases, to persons from whom specific advice may be sought. In that event, the reviewer maintains responsibility for ensuring confidentiality. The reviewer should inform the editor of others who make significant contributions to a review.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
38,44,0.18181818181818177,"Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted.","The peer-review process rests on the assumption that an assigned reviewer will treat all manuscripts as privileged information. A reviewer may request advice from another party, subject to the general principle of confidentiality and notification of the JCI."
41,45,0.18181818181818177,"Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place.","Supervisors who wish to involve their students or junior researchers in peer review must request permission from the editor and abide by the editor’s decision. In cases where a student performs the review under the guidance of the supervisor, that should be noted and the student should be acknowledged as the reviewer of record."
4,16,0.1842105263157895,"Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place. Full guidelines for peer reviewers can be found on the Committee on Publication Ethics website here.","""Manuscripts under review are strictly confidential. To protect the authors’ work as well as your anonymity, communications regarding the manuscript and its parts, including the abstract, may not be shared for any reason. Further, according to COPE guidelines, reviewers must refrain from using information obtained from the peer review process in any way and should not involve anyone else in the review of a manuscript without first obtaining permission from the journal."""
25,33,0.18518518518518523,"""Since peer review is confidential, you also must not share information about the review with anyone without permission from the editors and authors.""","It is acceptable to consult with laboratory colleagues, but please identify them to the editors."
14,42,0.18518518518518523,Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.,Please do not share the manuscript with any colleagues without the explicit permission of the editor.
22,31,0.1875,"Papers sent to you for review are confidential. However, requesting the opinion of a single colleague may be appropriate in some circumstances. Please consult your associate editor if you’d like to the input of outside help for the review.","It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee’s own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors."
7,38,0.1875,"Unless otherwise specified, OUP expects editors and reviewers to handle all submissions in confidence. If a reviewer wishes to delegate the review or seek the opinion of a colleague on a specific aspect of the paper, they are expected to clear this with the editor in the first instance.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
32,38,0.1875,"We ask referees to treat the review process as strictly confidential, and not to discuss the manuscript with anyone not directly involved in the review. It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee's own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors.","Although referees may consult and seek advice from other researchers or colleagues, the referee must ensure that the confidentiality of these materials is preserved. In such cases, we require referees to provide the names and contact information of those researchers who have been consulted."
8,45,0.1875,"If you accept, you must treat the materials you receive as confidential documents. This means you can’t share them with anyone without prior authorization from the editor. Since peer review is confidential, you also must not share information about the review with anyone without permission from the editors and authors.","Supervisors who wish to involve their students or junior researchers in peer review must request permission from the editor and abide by the editor’s decision. In cases where a student performs the review under the guidance of the supervisor, that should be noted and the student should be acknowledged as the reviewer of record."
