journal,issn,pr_type_clean
Journal of the American Chemical Society,1520-5126,Single blind
Journal of the American College of Cardiology,0735-1097,Single blind
Journal of Youth and Adolescence,1573-6601,Double blind
Journalism,1741-3001,Double blind
Journalism Practice,1751-2786,Double blind
Journalism Studies,1461-670X,Double blind
Land Use Policy,0264-8377,Double blind
Language Learning,1467-9922,Other
Lingua,0024-3841,Double blind
Management Information Systems Quarterly,2162-9730,Double blind
Management Science,1526-5501,Double blind
"Media, Culture & Society",1460-3675,Double blind
Molecular Cell,1097-2765,Unsure
Monthly Notices of the Royal Astronomical Society,1365-2966,Single blind
Nano Letters,1530-6992,Unsure
Nanoscale,2040-3372,Unsure
Nature,1476-4687,Other
Nature Biotechnology,1546-1696,Other
Nature Cell Biology,1476-4679,Other
Nature Chemistry,1755-4349,Other
Nature Climate Change,1758-6798,Other
Nature Communications,2041-1723,Other
Nature Genetics,1546-1718,Other
Nature Immunology,1529-2916,Other
Nature Materials,1476-4660,Other
Nature Medicine,1546-170X,Other
Nature Methods,1548-7105,Other
Nature Nanotechnology,1748-3395,Other
Nature Neuroscience,1546-1726,Other
Nature Photonics,1749-4893,Other
Nature Physics,1745-2481,Other
Nature Reviews Cancer,1474-1768,Unsure
Nature Reviews Genetics,1471-0064,Unsure
Nature Reviews Immunology,1474-1733,Unsure
Nature Reviews Neuroscience,1471-0048,Unsure
Nature Reviews. Drug Discovery,1474-1784,Unsure
Nature Reviews. Molecular Cell Biology,1471-0080,Unsure
Neural Information Processing Systems (NIPS),NIPS-ISSN,Double blind
NeuroImage,1053-8119,Single blind
Neuron,1097-4199,Single blind
New Media and Society,1461-7315,Double blind
Noûs,1468-0068,Other
Nucleic Acids Research,1362-4962,Unsure
Obstetrical & Gynecological Survey,1533-9866,Unsure
Optics Express,1094-4087,Single blind
Pediatrics,1098-4275,Unsure
Philosophical Studies,1573-0883,Double blind
Physical Review B,1550-235X,Single blind
Physical Review D,1550- 2368,Single blind
Physical Review Letters,1079-7114,Single blind
Physical Review X,2160-3308,Single blind
Physics Letters B,0375-9601,Single blind
PLoS One,1932-6203,Single blind
Proceedings of the National Academy of Sciences,1091-6490,Single blind
Progress in Human Geography,1477-0288,Double blind
Public Opinion Quarterly,1537-5331,Double blind
Regional Studies,1360-0591,Double blind
Renewable and Sustainable Energy Reviews,1364-0321,Single blind
Research Policy,0048-7333,Double blind
Review of Economics and Statistics,0034-6535,Unsure
Reviews of Modern Physics,1539-0756,Single blind
Science,1095-9203,Unsure
Science Translational Medicine,1946-6234,Unsure
Scientific Reports,2045-2322,Single blind
Social Science & Medicine,0277-9536,Double blind
Strategic Management Journal,1097-0266,Unsure
Synthese,1573-0964,Double blind
System,0346-251X,Double blind
Teaching and Teacher Education,0742-051X,Double blind
TESOL Quarterly,1545-7249,Unsure
The Astrophysical Journal,1538-4357,Unsure
The China Quarterly,1468-2648,Double blind
The Cochrane Database of Systematic Reviews,1469-493X,Not blinded
The European Physical Journal C,1434-6052,Single blind
The Journal of Clinical Investigation,1558-8238,Unsure
The Journal of Finance,1540-6261,Unsure
The Journal of Physical Chemistry Letters,1948-7185,Single blind
The Lancet,1474-547X,Unsure
The Lancet Neurology,1474-4422,Unsure
The Lancet Oncology,1470-2045,Unsure
The Modern Language Journal,1540-4781,Double blind
The New England Journal of Medicine,1533-4406,Single blind
The Quarterly Journal of Economics,1531-4650,Unsure
The Review of Economic Studies,1467-937X,Unsure
The Review of Financial Studies,1465-7368,Unsure
Tourism Management,0261-5177,Double blind
World Development,1873-5991,Double blind
