title,issn,variable,value,label
Nanoscale,2040-3372,co_review,Yes,Can co-reviewers contribute?
Nature,1476-4687,co_review,No,Can co-reviewers contribute?
Nature Biotechnology,1546-1696,co_review,No,Can co-reviewers contribute?
Nature Cell Biology,1476-4679,co_review,No,Can co-reviewers contribute?
Nature Chemistry,1755-4349,co_review,No,Can co-reviewers contribute?
Nature Climate Change,1758-6798,co_review,No,Can co-reviewers contribute?
Nature Communications,2041-1723,co_review,No,Can co-reviewers contribute?
Nature Genetics,1546-1718,co_review,No,Can co-reviewers contribute?
Nature Immunology,1529-2916,co_review,No,Can co-reviewers contribute?
Nature Materials,1476-4660,co_review,No,Can co-reviewers contribute?
Nature Medicine,1546-170X,co_review,No,Can co-reviewers contribute?
Nature Methods,1548-7105,co_review,No,Can co-reviewers contribute?
Nature Nanotechnology,1748-3395,co_review,No,Can co-reviewers contribute?
Nature Neuroscience,1546-1726,co_review,No,Can co-reviewers contribute?
Nature Photonics,1749-4893,co_review,No,Can co-reviewers contribute?
Nature Physics,1745-2481,co_review,No,Can co-reviewers contribute?
Nature Reviews Cancer,1474-1768,co_review,Yes,Can co-reviewers contribute?
Nature Reviews Genetics,1471-0064,co_review,Yes,Can co-reviewers contribute?
Nature Reviews Immunology,1474-1733,co_review,Yes,Can co-reviewers contribute?
Nature Reviews Neuroscience,1471-0048,co_review,Yes,Can co-reviewers contribute?
Nature Reviews. Drug Discovery,1474-1784,co_review,Yes,Can co-reviewers contribute?
Nature Reviews. Molecular Cell Biology,1471-0080,co_review,Yes,Can co-reviewers contribute?
Neural Information Processing Systems (NIPS),NIPS-ISSN,co_review,No,Can co-reviewers contribute?
NeuroImage,1053-8119,co_review,No,Can co-reviewers contribute?
Neuron,1097-4199,co_review,Yes,Can co-reviewers contribute?
New Media and Society,1461-7315,co_review,No,Can co-reviewers contribute?
Noûs,1468-0068,co_review,Yes,Can co-reviewers contribute?
Nucleic Acids Research,1362-4962,co_review,No,Can co-reviewers contribute?
Obstetrical & Gynecological Survey,1533-9866,co_review,No,Can co-reviewers contribute?
Optics Express,1094-4087,co_review,Yes,Can co-reviewers contribute?
Pediatrics,1098-4275,co_review,Yes,Can co-reviewers contribute?
Philosophical Studies,1573-0883,co_review,No,Can co-reviewers contribute?
Physical Review B,1550-235X,co_review,Yes,Can co-reviewers contribute?
Physical Review D,1550- 2368,co_review,Yes,Can co-reviewers contribute?
Physical Review Letters,1079-7114,co_review,Yes,Can co-reviewers contribute?
Physical Review X,2160-3308,co_review,Yes,Can co-reviewers contribute?
Physics Letters B,0375-9601,co_review,No,Can co-reviewers contribute?
PLoS One,1932-6203,co_review,Yes,Can co-reviewers contribute?
Proceedings of the National Academy of Sciences,1091-6490,co_review,Yes,Can co-reviewers contribute?
Progress in Human Geography,1477-0288,co_review,Yes,Can co-reviewers contribute?
Public Opinion Quarterly,1537-5331,co_review,No,Can co-reviewers contribute?
Regional Studies,1360-0591,co_review,No,Can co-reviewers contribute?
Renewable and Sustainable Energy Reviews,1364-0321,co_review,No,Can co-reviewers contribute?
Research Policy,0048-7333,co_review,No,Can co-reviewers contribute?
Review of Economics and Statistics,0034-6535,co_review,No,Can co-reviewers contribute?
Reviews of Modern Physics,1539-0756,co_review,Yes,Can co-reviewers contribute?
Science,1095-9203,co_review,No,Can co-reviewers contribute?
Science Translational Medicine,1946-6234,co_review,No,Can co-reviewers contribute?
Scientific Reports,2045-2322,co_review,Yes,Can co-reviewers contribute?
Social Science & Medicine,0277-9536,co_review,No,Can co-reviewers contribute?
Strategic Management Journal,1097-0266,co_review,No,Can co-reviewers contribute?
Synthese,1573-0964,co_review,No,Can co-reviewers contribute?
System,0346-251X,co_review,No,Can co-reviewers contribute?
Teaching and Teacher Education,0742-051X,co_review,No,Can co-reviewers contribute?
TESOL Quarterly,1545-7249,co_review,No,Can co-reviewers contribute?
The Astrophysical Journal,1538-4357,co_review,No,Can co-reviewers contribute?
The China Quarterly,1468-2648,co_review,No,Can co-reviewers contribute?
The Cochrane Database of Systematic Reviews,1469-493X,co_review,No,Can co-reviewers contribute?
The European Physical Journal C,1434-6052,co_review,No,Can co-reviewers contribute?
The Journal of Clinical Investigation,1558-8238,co_review,No,Can co-reviewers contribute?
The Journal of Finance,1540-6261,co_review,No,Can co-reviewers contribute?
The Journal of Physical Chemistry Letters,1948-7185,co_review,No,Can co-reviewers contribute?
The Lancet,1474-547X,co_review,No,Can co-reviewers contribute?
The Lancet Neurology,1474-4422,co_review,No,Can co-reviewers contribute?
The Lancet Oncology,1470-2045,co_review,No,Can co-reviewers contribute?
The Modern Language Journal,1540-4781,co_review,No,Can co-reviewers contribute?
The New England Journal of Medicine,1533-4406,co_review,No,Can co-reviewers contribute?
The Quarterly Journal of Economics,1531-4650,co_review,No,Can co-reviewers contribute?
The Review of Economic Studies,1467-937X,co_review,No,Can co-reviewers contribute?
The Review of Financial Studies,1465-7368,co_review,No,Can co-reviewers contribute?
Tourism Management,0261-5177,co_review,No,Can co-reviewers contribute?
World Development,1873-5991,co_review,No,Can co-reviewers contribute?
Academic Medicine,1040-2446,preprint_posting,No,Can preprints be posted?
ACS Applied Materials & Interfaces,1944-8252,preprint_posting,Yes,Can preprints be posted?
Accounts of Chemical Research,1520-4898,preprint_posting,Yes,Can preprints be posted?
ACS Catalysis,2155-5435,preprint_posting,Yes,Can preprints be posted?
Academy of Management Journal,0001-4273,preprint_posting,Yes,Can preprints be posted?
ACS Nano,1936-086X,preprint_posting,Yes,Can preprints be posted?
Advanced Energy Materials,1614-6840,preprint_posting,Yes,Can preprints be posted?
Advanced Functional Materials,1616-3028,preprint_posting,Yes,Can preprints be posted?
Advanced Materials,1521-4095,preprint_posting,Yes,Can preprints be posted?
American Economic Review,0002-8282,preprint_posting,No,Can preprints be posted?
American Journal of Political Science,1540-5907,preprint_posting,Yes,Can preprints be posted?
American Journal of Public Health,1541-0048,preprint_posting,No,Can preprints be posted?
American Political Science Review,1537-5943,preprint_posting,No,Can preprints be posted?
American Sociological Review,1939-8271,preprint_posting,Yes,Can preprints be posted?
Angewandte Chemie International Edition,1521-3773,preprint_posting,Yes,Can preprints be posted?
Annals of Internal Medicine,0003-4819,preprint_posting,No,Can preprints be posted?
Annals of Oncology,1569-8041,preprint_posting,Yes,Can preprints be posted?
Annals of the Rheumatic Diseases,1468-2060,preprint_posting,Yes,Can preprints be posted?
Annals of Tourism Research,0160-7383,preprint_posting,Yes,Can preprints be posted?
Applied Energy,0306-2619,preprint_posting,Yes,Can preprints be posted?
Applied Linguistics,1477-450X,preprint_posting,No,Can preprints be posted?
Applied Physics Letters,1077-3118,preprint_posting,No,Can preprints be posted?
Astronomy & Astrophysics,1432-0746,preprint_posting,No,Can preprints be posted?
Biomaterials,0142-9612,preprint_posting,Yes,Can preprints be posted?
Blood,1528-0020,preprint_posting,Yes,Can preprints be posted?
BMJ,1756-1833,preprint_posting,Yes,Can preprints be posted?
Cancer Cell,1535-6108,preprint_posting,Yes,Can preprints be posted?
Cancer Research,0099-7013,preprint_posting,Yes,Can preprints be posted?
Cell,1097-4172,preprint_posting,Yes,Can preprints be posted?
Cell Metabolism,1550-4131,preprint_posting,Yes,Can preprints be posted?
Cell Stem Cell,1934-5909,preprint_posting,Yes,Can preprints be posted?
"Chemical communications (Cambridge, England)",0144-557X,preprint_posting,No,Can preprints be posted?
Chemical Reviews,1520-6890,preprint_posting,No,Can preprints be posted?
Chemical Society reviews,1460-4744,preprint_posting,Yes,Can preprints be posted?
Chemistry of Materials,1520-5002,preprint_posting,Yes,Can preprints be posted?
Circulation,0009-7322,preprint_posting,Yes,Can preprints be posted?
Circulation Research,1524-4571,preprint_posting,Yes,Can preprints be posted?
Clinical Cancer Research,1557-3265,preprint_posting,Yes,Can preprints be posted?
Computers & Education,0360-1315,preprint_posting,Yes,Can preprints be posted?
Diabetes Care,1935-5548,preprint_posting,No,Can preprints be posted?
Digital Journalism,2167-082X,preprint_posting,No,Can preprints be posted?
Econometrica,1468-0262,preprint_posting,No,Can preprints be posted?
Energy and Environmental Science,1754-5706,preprint_posting,Yes,Can preprints be posted?
Environmental Science & Technology,0013-936X,preprint_posting,No,Can preprints be posted?
European Heart Journal,1522-9645,preprint_posting,Yes,Can preprints be posted?
European Urology,0302-2838,preprint_posting,No,Can preprints be posted?
Gastroenterology,0016-5085,preprint_posting,No,Can preprints be posted?
Gender & Society,1552-3977,preprint_posting,Yes,Can preprints be posted?
Geophysical Research Letters,1944-8007,preprint_posting,Yes,Can preprints be posted?
Global Environmental Change,0959-3780,preprint_posting,No,Can preprints be posted?
Government Information Quarterly,0740-624X,preprint_posting,No,Can preprints be posted?
Gut,1468-3288,preprint_posting,Yes,Can preprints be posted?
Health Affairs,1544-5208,preprint_posting,No,Can preprints be posted?
Hepatology,1527-3350,preprint_posting,Yes,Can preprints be posted?
IEEE Communications Magazine,0163-6804,preprint_posting,Yes,Can preprints be posted?
IEEE Communications Surveys & Tutorials,1553-877X,preprint_posting,Yes,Can preprints be posted?
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",preprint_posting,No,Can preprints be posted?
IEEE International Conference on Computer Vision,2380-7504,preprint_posting,Yes,Can preprints be posted?
IEEE Transactions on Automatic Control,0018-9286,preprint_posting,Yes,Can preprints be posted?
IEEE Transactions on Industrial Electronics,0278-0046,preprint_posting,Yes,Can preprints be posted?
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,preprint_posting,Yes,Can preprints be posted?
IEEE Transactions on Power Electronics,0885-8993,preprint_posting,Yes,Can preprints be posted?
IEEE Transactions on Signal Processing,1053-587X,preprint_posting,Yes,Can preprints be posted?
Immunity,1074-7613,preprint_posting,Yes,Can preprints be posted?
International Journal of Communication,1932-8036,preprint_posting,No,Can preprints be posted?
International Journal of Production Economics,0925-5273,preprint_posting,No,Can preprints be posted?
Journal of the American Medical Association,1538-3598,preprint_posting,Yes,Can preprints be posted?
Journal of Allergy and Clinical Immunology,0091-6749,preprint_posting,No,Can preprints be posted?
Journal of Banking & Finance,0378-4266,preprint_posting,No,Can preprints be posted?
Journal of Business Ethics,1573-0697,preprint_posting,No,Can preprints be posted?
Journal of Business Research,0148-2963,preprint_posting,No,Can preprints be posted?
Journal of Cleaner Production,0959-6526,preprint_posting,Yes,Can preprints be posted?
Journal of Clinical Oncology,1527-7755,preprint_posting,Yes,Can preprints be posted?
Journal of Communication,1460-2466,preprint_posting,Yes,Can preprints be posted?
Journal of Cosmology and Astroparticle Physics,1475-7516,preprint_posting,Yes,Can preprints be posted?
Journal of Economic Perspectives,1944-7965,preprint_posting,No,Can preprints be posted?
Journal of Educational Psychology,1939-2176,preprint_posting,No,Can preprints be posted?
Journal of Financial Economics,0304-405X,preprint_posting,Yes,Can preprints be posted?
Journal of Geophysical Research,2156-2202,preprint_posting,Yes,Can preprints be posted?
Journal of Hepatology,0168-8278,preprint_posting,Yes,Can preprints be posted?
Journal of High Energy Physics,1029-8479,preprint_posting,Yes,Can preprints be posted?
Journal of Management,1557-1211,preprint_posting,Yes,Can preprints be posted?
Journal of Materials Chemistry. A,2050-7488,preprint_posting,Yes,Can preprints be posted?
Journal of Pragmatics,0378-2166,preprint_posting,Yes,Can preprints be posted?
Journal of the American Chemical Society,1520-5126,preprint_posting,Yes,Can preprints be posted?
Journal of the American College of Cardiology,0735-1097,preprint_posting,Yes,Can preprints be posted?
Journal of Youth and Adolescence,1573-6601,preprint_posting,No,Can preprints be posted?
Journalism,1741-3001,preprint_posting,Yes,Can preprints be posted?
Journalism Practice,1751-2786,preprint_posting,No,Can preprints be posted?
Journalism Studies,1461-670X,preprint_posting,No,Can preprints be posted?
Land Use Policy,0264-8377,preprint_posting,Yes,Can preprints be posted?
Language Learning,1467-9922,preprint_posting,No,Can preprints be posted?
Lingua,0024-3841,preprint_posting,Yes,Can preprints be posted?
Management Information Systems Quarterly,2162-9730,preprint_posting,No,Can preprints be posted?
Management Science,1526-5501,preprint_posting,No,Can preprints be posted?
"Media, Culture & Society",1460-3675,preprint_posting,Yes,Can preprints be posted?
Molecular Cell,1097-2765,preprint_posting,Yes,Can preprints be posted?
Monthly Notices of the Royal Astronomical Society,1365-2966,preprint_posting,Yes,Can preprints be posted?
Nano Letters,1530-6992,preprint_posting,Yes,Can preprints be posted?
Nanoscale,2040-3372,preprint_posting,Yes,Can preprints be posted?
Nature,1476-4687,preprint_posting,Yes,Can preprints be posted?
Nature Biotechnology,1546-1696,preprint_posting,Yes,Can preprints be posted?
Nature Cell Biology,1476-4679,preprint_posting,Yes,Can preprints be posted?
Nature Chemistry,1755-4349,preprint_posting,Yes,Can preprints be posted?
Nature Climate Change,1758-6798,preprint_posting,Yes,Can preprints be posted?
Nature Communications,2041-1723,preprint_posting,Yes,Can preprints be posted?
Nature Genetics,1546-1718,preprint_posting,Yes,Can preprints be posted?
Nature Immunology,1529-2916,preprint_posting,Yes,Can preprints be posted?
Nature Materials,1476-4660,preprint_posting,Yes,Can preprints be posted?
Nature Medicine,1546-170X,preprint_posting,Yes,Can preprints be posted?
Nature Methods,1548-7105,preprint_posting,Yes,Can preprints be posted?
Nature Nanotechnology,1748-3395,preprint_posting,Yes,Can preprints be posted?
Nature Neuroscience,1546-1726,preprint_posting,Yes,Can preprints be posted?
Nature Photonics,1749-4893,preprint_posting,Yes,Can preprints be posted?
Nature Physics,1745-2481,preprint_posting,Yes,Can preprints be posted?
Nature Reviews Cancer,1474-1768,preprint_posting,No,Can preprints be posted?
Nature Reviews Genetics,1471-0064,preprint_posting,No,Can preprints be posted?
Nature Reviews Immunology,1474-1733,preprint_posting,No,Can preprints be posted?
Nature Reviews Neuroscience,1471-0048,preprint_posting,No,Can preprints be posted?
Nature Reviews. Drug Discovery,1474-1784,preprint_posting,No,Can preprints be posted?
Nature Reviews. Molecular Cell Biology,1471-0080,preprint_posting,No,Can preprints be posted?
Neural Information Processing Systems (NIPS),NIPS-ISSN,preprint_posting,No,Can preprints be posted?
NeuroImage,1053-8119,preprint_posting,No,Can preprints be posted?
Neuron,1097-4199,preprint_posting,Yes,Can preprints be posted?
New Media and Society,1461-7315,preprint_posting,No,Can preprints be posted?
Noûs,1468-0068,preprint_posting,Yes,Can preprints be posted?
Nucleic Acids Research,1362-4962,preprint_posting,Yes,Can preprints be posted?
Obstetrical & Gynecological Survey,1533-9866,preprint_posting,No,Can preprints be posted?
Optics Express,1094-4087,preprint_posting,No,Can preprints be posted?
Pediatrics,1098-4275,preprint_posting,No,Can preprints be posted?
Philosophical Studies,1573-0883,preprint_posting,No,Can preprints be posted?
Physical Review B,1550-235X,preprint_posting,No,Can preprints be posted?
Physical Review D,1550- 2368,preprint_posting,No,Can preprints be posted?
Physical Review Letters,1079-7114,preprint_posting,No,Can preprints be posted?
Physical Review X,2160-3308,preprint_posting,No,Can preprints be posted?
Physics Letters B,0375-9601,preprint_posting,Yes,Can preprints be posted?
PLoS One,1932-6203,preprint_posting,Yes,Can preprints be posted?
Proceedings of the National Academy of Sciences,1091-6490,preprint_posting,No,Can preprints be posted?
Progress in Human Geography,1477-0288,preprint_posting,No,Can preprints be posted?
Public Opinion Quarterly,1537-5331,preprint_posting,Yes,Can preprints be posted?
Regional Studies,1360-0591,preprint_posting,No,Can preprints be posted?
Renewable and Sustainable Energy Reviews,1364-0321,preprint_posting,No,Can preprints be posted?
Research Policy,0048-7333,preprint_posting,Yes,Can preprints be posted?
Review of Economics and Statistics,0034-6535,preprint_posting,Yes,Can preprints be posted?
Reviews of Modern Physics,1539-0756,preprint_posting,Yes,Can preprints be posted?
Science,1095-9203,preprint_posting,Yes,Can preprints be posted?
Science Translational Medicine,1946-6234,preprint_posting,Yes,Can preprints be posted?
Scientific Reports,2045-2322,preprint_posting,Yes,Can preprints be posted?
Social Science & Medicine,0277-9536,preprint_posting,Yes,Can preprints be posted?
Strategic Management Journal,1097-0266,preprint_posting,No,Can preprints be posted?
Synthese,1573-0964,preprint_posting,No,Can preprints be posted?
System,0346-251X,preprint_posting,No,Can preprints be posted?
Teaching and Teacher Education,0742-051X,preprint_posting,Yes,Can preprints be posted?
TESOL Quarterly,1545-7249,preprint_posting,No,Can preprints be posted?
The Astrophysical Journal,1538-4357,preprint_posting,No,Can preprints be posted?
The China Quarterly,1468-2648,preprint_posting,No,Can preprints be posted?
The Cochrane Database of Systematic Reviews,1469-493X,preprint_posting,No,Can preprints be posted?
The European Physical Journal C,1434-6052,preprint_posting,Yes,Can preprints be posted?
The Journal of Clinical Investigation,1558-8238,preprint_posting,No,Can preprints be posted?
The Journal of Finance,1540-6261,preprint_posting,Yes,Can preprints be posted?
The Journal of Physical Chemistry Letters,1948-7185,preprint_posting,Yes,Can preprints be posted?
The Lancet,1474-547X,preprint_posting,No,Can preprints be posted?
The Lancet Neurology,1474-4422,preprint_posting,No,Can preprints be posted?
The Lancet Oncology,1470-2045,preprint_posting,Yes,Can preprints be posted?
The Modern Language Journal,1540-4781,preprint_posting,No,Can preprints be posted?
The New England Journal of Medicine,1533-4406,preprint_posting,Yes,Can preprints be posted?
The Quarterly Journal of Economics,1531-4650,preprint_posting,Yes,Can preprints be posted?
The Review of Economic Studies,1467-937X,preprint_posting,Yes,Can preprints be posted?
The Review of Financial Studies,1465-7368,preprint_posting,Yes,Can preprints be posted?
Tourism Management,0261-5177,preprint_posting,Yes,Can preprints be posted?
World Development,1873-5991,preprint_posting,No,Can preprints be posted?
Academic Medicine,1040-2446,preprint_citing,Yes,Can preprints be cited?
ACS Applied Materials & Interfaces,1944-8252,preprint_citing,No,Can preprints be cited?
Accounts of Chemical Research,1520-4898,preprint_citing,No,Can preprints be cited?
ACS Catalysis,2155-5435,preprint_citing,No,Can preprints be cited?
Academy of Management Journal,0001-4273,preprint_citing,No,Can preprints be cited?
ACS Nano,1936-086X,preprint_citing,No,Can preprints be cited?
Advanced Energy Materials,1614-6840,preprint_citing,No,Can preprints be cited?
Advanced Functional Materials,1616-3028,preprint_citing,No,Can preprints be cited?
Advanced Materials,1521-4095,preprint_citing,No,Can preprints be cited?
American Economic Review,0002-8282,preprint_citing,No,Can preprints be cited?
American Journal of Political Science,1540-5907,preprint_citing,No,Can preprints be cited?
American Journal of Public Health,1541-0048,preprint_citing,No,Can preprints be cited?
American Political Science Review,1537-5943,preprint_citing,No,Can preprints be cited?
American Sociological Review,1939-8271,preprint_citing,Yes,Can preprints be cited?
Angewandte Chemie International Edition,1521-3773,preprint_citing,Yes,Can preprints be cited?
Annals of Internal Medicine,0003-4819,preprint_citing,Yes,Can preprints be cited?
Annals of Oncology,1569-8041,preprint_citing,Yes,Can preprints be cited?
Annals of the Rheumatic Diseases,1468-2060,preprint_citing,No,Can preprints be cited?
Annals of Tourism Research,0160-7383,preprint_citing,No,Can preprints be cited?
Applied Energy,0306-2619,preprint_citing,No,Can preprints be cited?
Applied Linguistics,1477-450X,preprint_citing,Yes,Can preprints be cited?
Applied Physics Letters,1077-3118,preprint_citing,No,Can preprints be cited?
Astronomy & Astrophysics,1432-0746,preprint_citing,No,Can preprints be cited?
Biomaterials,0142-9612,preprint_citing,No,Can preprints be cited?
Blood,1528-0020,preprint_citing,No,Can preprints be cited?
BMJ,1756-1833,preprint_citing,No,Can preprints be cited?
Cancer Cell,1535-6108,preprint_citing,No,Can preprints be cited?
Cancer Research,0099-7013,preprint_citing,No,Can preprints be cited?
Cell,1097-4172,preprint_citing,No,Can preprints be cited?
Cell Metabolism,1550-4131,preprint_citing,No,Can preprints be cited?
Cell Stem Cell,1934-5909,preprint_citing,No,Can preprints be cited?
"Chemical communications (Cambridge, England)",0144-557X,preprint_citing,Yes,Can preprints be cited?
Chemical Reviews,1520-6890,preprint_citing,Yes,Can preprints be cited?
Chemical Society reviews,1460-4744,preprint_citing,Yes,Can preprints be cited?
Chemistry of Materials,1520-5002,preprint_citing,No,Can preprints be cited?
Circulation,0009-7322,preprint_citing,Yes,Can preprints be cited?
Circulation Research,1524-4571,preprint_citing,Yes,Can preprints be cited?
Clinical Cancer Research,1557-3265,preprint_citing,No,Can preprints be cited?
Computers & Education,0360-1315,preprint_citing,Yes,Can preprints be cited?
Diabetes Care,1935-5548,preprint_citing,No,Can preprints be cited?
Digital Journalism,2167-082X,preprint_citing,No,Can preprints be cited?
Econometrica,1468-0262,preprint_citing,No,Can preprints be cited?
Energy and Environmental Science,1754-5706,preprint_citing,No,Can preprints be cited?
Environmental Science & Technology,0013-936X,preprint_citing,No,Can preprints be cited?
European Heart Journal,1522-9645,preprint_citing,No,Can preprints be cited?
European Urology,0302-2838,preprint_citing,No,Can preprints be cited?
Gastroenterology,0016-5085,preprint_citing,No,Can preprints be cited?
